library_id,fastq_path,read,pair_id,type
175634,/scratch/project/production/fastq/HMHKYDRXX/1/fastq/HMHKYDRXX_1_SI-NA-C7_1.fastq.gz,R1,P39,CSP
175634,/scratch/project/production/fastq/HMHKYDRXX/2/fastq/HMHKYDRXX_2_SI-NA-C7_1.fastq.gz,R1,P40,CSP
175635,/scratch/project/production/fastq/HMHKYDRXX/1/fastq/HMHKYDRXX_1_SI-NA-D7_1.fastq.gz,R1,P41,CSP
175635,/scratch/project/production/fastq/HMHKYDRXX/2/fastq/HMHKYDRXX_2_SI-NA-D7_1.fastq.gz,R1,P42,CSP
175621,/scratch/project/production/fastq/HMHKYDRXX/1/fastq/HMHKYDRXX_1_SI-GA-F10_2.fastq.gz,R2,P1,GEX
175621,/scratch/project/production/fastq/HMHKYDRXX/2/fastq/HMHKYDRXX_2_SI-GA-F10_2.fastq.gz,R2,P2,GEX
175621,/scratch/project/production/fastq/HMJNGDRXX/1/fastq/HMJNGDRXX_1_SI-GA-F10_2.fastq.gz,R2,P3,GEX
175621,/scratch/project/production/fastq/HMJNGDRXX/2/fastq/HMJNGDRXX_2_SI-GA-F10_2.fastq.gz,R2,P4,GEX
175622,/scratch/project/production/fastq/HMHKYDRXX/1/fastq/HMHKYDRXX_1_SI-GA-F11_2.fastq.gz,R2,P5,GEX
175622,/scratch/project/production/fastq/HMHKYDRXX/2/fastq/HMHKYDRXX_2_SI-GA-F11_2.fastq.gz,R2,P6,GEX
175622,/scratch/project/production/fastq/HMJNGDRXX/1/fastq/HMJNGDRXX_1_SI-GA-F11_2.fastq.gz,R2,P7,GEX
175622,/scratch/project/production/fastq/HMJNGDRXX/2/fastq/HMJNGDRXX_2_SI-GA-F11_2.fastq.gz,R2,P8,GEX
175623,/scratch/project/production/fastq/HMHKYDRXX/1/fastq/HMHKYDRXX_1_SI-GA-F12_2.fastq.gz,R2,P9,GEX
175623,/scratch/project/production/fastq/HMHKYDRXX/2/fastq/HMHKYDRXX_2_SI-GA-F12_2.fastq.gz,R2,P10,GEX
175623,/scratch/project/production/fastq/HMJNGDRXX/1/fastq/HMJNGDRXX_1_SI-GA-F12_2.fastq.gz,R2,P11,GEX
175623,/scratch/project/production/fastq/HMJNGDRXX/2/fastq/HMJNGDRXX_2_SI-GA-F12_2.fastq.gz,R2,P12,GEX
175625,/scratch/project/production/fastq/HMHKYDRXX/1/fastq/HMHKYDRXX_1_SI-GA-G7_2.fastq.gz,R2,P13,BCR
175625,/scratch/project/production/fastq/HMHKYDRXX/2/fastq/HMHKYDRXX_2_SI-GA-G7_2.fastq.gz,R2,P14,BCR
175625,/scratch/project/production/fastq/HMJNGDRXX/1/fastq/HMJNGDRXX_1_SI-GA-G7_2.fastq.gz,R2,P15,BCR
175625,/scratch/project/production/fastq/HMJNGDRXX/2/fastq/HMJNGDRXX_2_SI-GA-G7_2.fastq.gz,R2,P16,BCR
175626,/scratch/project/production/fastq/HMHKYDRXX/1/fastq/HMHKYDRXX_1_SI-GA-G8_2.fastq.gz,R2,P17,BCR
175626,/scratch/project/production/fastq/HMHKYDRXX/2/fastq/HMHKYDRXX_2_SI-GA-G8_2.fastq.gz,R2,P18,BCR
175626,/scratch/project/production/fastq/HMJNGDRXX/1/fastq/HMJNGDRXX_1_SI-GA-G8_2.fastq.gz,R2,P19,BCR
175626,/scratch/project/production/fastq/HMJNGDRXX/2/fastq/HMJNGDRXX_2_SI-GA-G8_2.fastq.gz,R2,P20,BCR
175627,/scratch/project/production/fastq/HMHKYDRXX/1/fastq/HMHKYDRXX_1_SI-GA-G9_2.fastq.gz,R2,P21,BCR
175627,/scratch/project/production/fastq/HMHKYDRXX/2/fastq/HMHKYDRXX_2_SI-GA-G9_2.fastq.gz,R2,P22,BCR
175627,/scratch/project/production/fastq/HMJNGDRXX/1/fastq/HMJNGDRXX_1_SI-GA-G9_2.fastq.gz,R2,P23,BCR
175627,/scratch/project/production/fastq/HMJNGDRXX/2/fastq/HMJNGDRXX_2_SI-GA-G9_2.fastq.gz,R2,P24,BCR
175629,/scratch/project/production/fastq/HMHKYDRXX/1/fastq/HMHKYDRXX_1_SI-GA-G11_2.fastq.gz,R2,P25,TCR
175629,/scratch/project/production/fastq/HMHKYDRXX/2/fastq/HMHKYDRXX_2_SI-GA-G11_2.fastq.gz,R2,P26,TCR
175629,/scratch/project/production/fastq/HMJNGDRXX/1/fastq/HMJNGDRXX_1_SI-GA-G11_2.fastq.gz,R2,P27,TCR
175629,/scratch/project/production/fastq/HMJNGDRXX/2/fastq/HMJNGDRXX_2_SI-GA-G11_2.fastq.gz,R2,P28,TCR
175630,/scratch/project/production/fastq/HMHKYDRXX/1/fastq/HMHKYDRXX_1_SI-GA-H1_2.fastq.gz,R2,P29,TCR
175630,/scratch/project/production/fastq/HMHKYDRXX/2/fastq/HMHKYDRXX_2_SI-GA-H1_2.fastq.gz,R2,P30,TCR
175630,/scratch/project/production/fastq/HMJNGDRXX/1/fastq/HMJNGDRXX_1_SI-GA-H1_2.fastq.gz,R2,P31,TCR
175630,/scratch/project/production/fastq/HMJNGDRXX/2/fastq/HMJNGDRXX_2_SI-GA-H1_2.fastq.gz,R2,P32,TCR
175631,/scratch/project/production/fastq/HMHKYDRXX/1/fastq/HMHKYDRXX_1_SI-GA-H2_2.fastq.gz,R2,P33,TCR
175631,/scratch/project/production/fastq/HMHKYDRXX/2/fastq/HMHKYDRXX_2_SI-GA-H2_2.fastq.gz,R2,P34,TCR
175631,/scratch/project/production/fastq/HMJNGDRXX/1/fastq/HMJNGDRXX_1_SI-GA-H2_2.fastq.gz,R2,P35,TCR
175631,/scratch/project/production/fastq/HMJNGDRXX/2/fastq/HMJNGDRXX_2_SI-GA-H2_2.fastq.gz,R2,P36,TCR
175633,/scratch/project/production/fastq/HMHKYDRXX/1/fastq/HMHKYDRXX_1_SI-NA-B7_2.fastq.gz,R2,P37,CSP
175633,/scratch/project/production/fastq/HMHKYDRXX/2/fastq/HMHKYDRXX_2_SI-NA-B7_2.fastq.gz,R2,P38,CSP
175634,/scratch/project/production/fastq/HMHKYDRXX/1/fastq/HMHKYDRXX_1_SI-NA-C7_2.fastq.gz,R2,P39,CSP
175634,/scratch/project/production/fastq/HMHKYDRXX/2/fastq/HMHKYDRXX_2_SI-NA-C7_2.fastq.gz,R2,P40,CSP
175635,/scratch/project/production/fastq/HMHKYDRXX/1/fastq/HMHKYDRXX_1_SI-NA-D7_2.fastq.gz,R2,P41,CSP
175635,/scratch/project/production/fastq/HMHKYDRXX/2/fastq/HMHKYDRXX_2_SI-NA-D7_2.fastq.gz,R2,P42,CSP
