dataset,subproject,gem_id,library_id,library_name,type,pair_id,read,fastq_path,donor_id
scRNA-seq,BCLLATLAS_06,giz3qso4_783dbpu6,135346,BCLL_8_T_2_hashing,hashed_cdna,P7,R1,/scratch/project/production/fastq/HCTW2DRXX/1/fastq/HCTW2DRXX_1_SI-GA-B9_1.fastq.gz,BCLL-8-T
scRNA-seq,BCLLATLAS_06,giz3qso4_783dbpu6,135346,BCLL_8_T_2_hashing,hashed_cdna,P8,R1,/scratch/project/production/fastq/HCTW2DRXX/2/fastq/HCTW2DRXX_2_SI-GA-B9_1.fastq.gz,BCLL-8-T
scRNA-seq,BCLLATLAS_06,giz3qso4_783dbpu6,135346,BCLL_8_T_2_hashing,hashed_cdna,P9,R1,/scratch/project/production/fastq/HF353DRXX/1/fastq/HF353DRXX_1_SI-GA-B9_1.fastq.gz,BCLL-8-T
scRNA-seq,BCLLATLAS_06,giz3qso4_783dbpu6,135346,BCLL_8_T_2_hashing,hashed_cdna,P10,R1,/scratch/project/production/fastq/HF353DRXX/2/fastq/HF353DRXX_2_SI-GA-B9_1.fastq.gz,BCLL-8-T
scRNA-seq,BCLLATLAS_06,giz3qso4_783dbpu6,135346,BCLL_8_T_2_hashing,hashed_cdna,P11,R1,/scratch/project/production/fastq/HHYC7DRXX/1/fastq/HHYC7DRXX_1_SI-GA-B9_1.fastq.gz,BCLL-8-T
scRNA-seq,BCLLATLAS_06,giz3qso4_783dbpu6,135346,BCLL_8_T_2_hashing,hashed_cdna,P12,R1,/scratch/project/production/fastq/HHYC7DRXX/2/fastq/HHYC7DRXX_2_SI-GA-B9_1.fastq.gz,BCLL-8-T
scRNA-seq,BCLLATLAS_06,wkup7hvl_reo7jg84,135347,BCLL_8_T_5K,not_hashed,P13,R1,/scratch/project/production/fastq/HCY2YDRXX/1/fastq/HCY2YDRXX_1_SI-GA-C9_1.fastq.gz,BCLL-8-T
scRNA-seq,BCLLATLAS_06,wkup7hvl_reo7jg84,135347,BCLL_8_T_5K,not_hashed,P14,R1,/scratch/project/production/fastq/HCY2YDRXX/2/fastq/HCY2YDRXX_2_SI-GA-C9_1.fastq.gz,BCLL-8-T
scRNA-seq,BCLLATLAS_06,wkup7hvl_reo7jg84,135347,BCLL_8_T_5K,not_hashed,P15,R1,/scratch/project/production/fastq/HF353DRXX/1/fastq/HF353DRXX_1_SI-GA-C9_1.fastq.gz,BCLL-8-T
scRNA-seq,BCLLATLAS_06,wkup7hvl_reo7jg84,135347,BCLL_8_T_5K,not_hashed,P16,R1,/scratch/project/production/fastq/HF353DRXX/2/fastq/HF353DRXX_2_SI-GA-C9_1.fastq.gz,BCLL-8-T
scRNA-seq,BCLLATLAS_06,d8kwy76j_7blj9otf,135348,BCLL_8_T_1_HTO,hashed_hto,P17,R1,/scratch/project/production/fastq/HF353DRXX/1/fastq/HF353DRXX_1_IlluminaTruSeqD701_1.fastq.gz,BCLL-8-T
