library_id,fastq_path,read,pair_id,type
181961,/scratch/project/production/fastq/HMHT5DRXX/1/fastq/HMHT5DRXX_1_SI-GA-F2_1.fastq.gz,R1,P1,hashed_cdna
181961,/scratch/project/production/fastq/HMHT5DRXX/2/fastq/HMHT5DRXX_2_SI-GA-F2_1.fastq.gz,R1,P2,hashed_cdna
181961,/scratch/project/production/fastq/HTKYJDRXX/1/fastq/HTKYJDRXX_1_SI-GA-F2_1.fastq.gz,R1,P3,hashed_cdna
181961,/scratch/project/production/fastq/HTKYJDRXX/2/fastq/HTKYJDRXX_2_SI-GA-F2_1.fastq.gz,R1,P4,hashed_cdna
181962,/scratch/project/production/fastq/HMHT5DRXX/1/fastq/HMHT5DRXX_1_SI-GA-G2_1.fastq.gz,R1,P5,hashed_cdna
181962,/scratch/project/production/fastq/HMHT5DRXX/2/fastq/HMHT5DRXX_2_SI-GA-G2_1.fastq.gz,R1,P6,hashed_cdna
181962,/scratch/project/production/fastq/HTKYJDRXX/1/fastq/HTKYJDRXX_1_SI-GA-G2_1.fastq.gz,R1,P7,hashed_cdna
181962,/scratch/project/production/fastq/HTKYJDRXX/2/fastq/HTKYJDRXX_2_SI-GA-G2_1.fastq.gz,R1,P8,hashed_cdna
181963,/scratch/project/production/fastq/HMHT5DRXX/1/fastq/HMHT5DRXX_1_IlluminaTruSeqD704_1.fastq.gz,R1,P9,hashed_hto
181963,/scratch/project/production/fastq/HMHT5DRXX/2/fastq/HMHT5DRXX_2_IlluminaTruSeqD704_1.fastq.gz,R1,P10,hashed_hto
181963,/scratch/project/production/fastq/HVJCGDRXX/1/fastq/HVJCGDRXX_1_IlluminaTruSeqD704_1.fastq.gz,R1,P11,hashed_hto
181963,/scratch/project/production/fastq/HVJCGDRXX/2/fastq/HVJCGDRXX_2_IlluminaTruSeqD704_1.fastq.gz,R1,P12,hashed_hto
181964,/scratch/project/production/fastq/HMHT5DRXX/1/fastq/HMHT5DRXX_1_IlluminaTruSeqD705_1.fastq.gz,R1,P13,hashed_hto
181964,/scratch/project/production/fastq/HMHT5DRXX/2/fastq/HMHT5DRXX_2_IlluminaTruSeqD705_1.fastq.gz,R1,P14,hashed_hto
181961,/scratch/project/production/fastq/HMHT5DRXX/1/fastq/HMHT5DRXX_1_SI-GA-F2_2.fastq.gz,R2,P1,hashed_cdna
181961,/scratch/project/production/fastq/HMHT5DRXX/2/fastq/HMHT5DRXX_2_SI-GA-F2_2.fastq.gz,R2,P2,hashed_cdna
181961,/scratch/project/production/fastq/HTKYJDRXX/1/fastq/HTKYJDRXX_1_SI-GA-F2_2.fastq.gz,R2,P3,hashed_cdna
181961,/scratch/project/production/fastq/HTKYJDRXX/2/fastq/HTKYJDRXX_2_SI-GA-F2_2.fastq.gz,R2,P4,hashed_cdna
181962,/scratch/project/production/fastq/HMHT5DRXX/1/fastq/HMHT5DRXX_1_SI-GA-G2_2.fastq.gz,R2,P5,hashed_cdna
181962,/scratch/project/production/fastq/HMHT5DRXX/2/fastq/HMHT5DRXX_2_SI-GA-G2_2.fastq.gz,R2,P6,hashed_cdna
181962,/scratch/project/production/fastq/HTKYJDRXX/1/fastq/HTKYJDRXX_1_SI-GA-G2_2.fastq.gz,R2,P7,hashed_cdna
181962,/scratch/project/production/fastq/HTKYJDRXX/2/fastq/HTKYJDRXX_2_SI-GA-G2_2.fastq.gz,R2,P8,hashed_cdna
181963,/scratch/project/production/fastq/HMHT5DRXX/1/fastq/HMHT5DRXX_1_IlluminaTruSeqD704_2.fastq.gz,R2,P9,hashed_hto
181963,/scratch/project/production/fastq/HMHT5DRXX/2/fastq/HMHT5DRXX_2_IlluminaTruSeqD704_2.fastq.gz,R2,P10,hashed_hto
181963,/scratch/project/production/fastq/HVJCGDRXX/1/fastq/HVJCGDRXX_1_IlluminaTruSeqD704_2.fastq.gz,R2,P11,hashed_hto
181963,/scratch/project/production/fastq/HVJCGDRXX/2/fastq/HVJCGDRXX_2_IlluminaTruSeqD704_2.fastq.gz,R2,P12,hashed_hto
181964,/scratch/project/production/fastq/HMHT5DRXX/1/fastq/HMHT5DRXX_1_IlluminaTruSeqD705_2.fastq.gz,R2,P13,hashed_hto
181964,/scratch/project/production/fastq/HMHT5DRXX/2/fastq/HMHT5DRXX_2_IlluminaTruSeqD705_2.fastq.gz,R2,P14,hashed_hto
