rowname curveNumber pointNumber    x     y
247           0         704 2444 -2859
248           0         707 2143 -1886
249           0         711 2617 -3159
250           0         715 2315 -3084
251           0         716 2229 -2934
252           0         734 2509 -2672
253           0         741 2229 -1661
254           0         744 2035 -1549
255           0         745 2444 -2560
256           0         746 2616 -2560
257           0         748 2272 -1062
258           0         751 2143  -837
259           0         753 2294 -2148
260           0         754 2379 -1099
261           0         757 2272 -1661
262           0         758 2121 -2373
263           0         761 2035 -1024
264           0         763 2358 -2635
265           0         764 2466 -1324
266           0         766 2444 -2635
267           0         769 2422 -1099
268           0         771 2207 -1848
269           0         775 1992  -875
270           0         777 2207 -1699
271           0         781 2380 -3122
272           0         790 2401 -2485
273           0         791 2466 -3121
274           0         796 2422 -1249
275           0         798 2444 -2185
276           0         803 2423 -1923
277           0         804 2401 -2036
278           0         806 2293 -1174
279           0         808 2487 -3009
280           0         810 2272 -2710
281           0         811 2616 -2410
282           0         815 2057 -1736
283           0         817 2207 -1324
284           0         818 2380 -1698
285           0         820 2272 -2784
286           0         825 2444 -1137
287           0         832 2250 -1773
288           0         834 2573 -2260
289           0         835 2294 -2822
290           0         838 2100 -1212
291           0         840 2294 -2747
292           0         841 2100  -987
293           0         842 2164 -1773
294           0         843 2616 -2485
295           0         846 2444 -2710
296           0         849 1992 -1099
297           0         850 2100 -1361
298           0         856 2487 -2110
299           0         862 2616 -2784
300           0         864 2207 -1474
301           0         873 2401 -1511
302           0         876 2380 -2522
303           0         878 2337 -2148
304           0         882 2229 -1511
305           0         883 2164 -1923
306           0         884 2358 -1137
307           0         885 2100 -1287
308           0         887 2143  -987
309           0         891 2487 -1436
310           0         892 2487 -1212
311           0         897 2251 -2822
312           0         901 2444 -1586
313           0         905 2164  -875
314           0         906 2315 -3009
315           0         913 2315  -837
316           0         920 2358  -987
317           0         926 2186 -1287
318           0         928 2401 -1436
319           0         929 2573 -2485
320           0         934 2552 -2447
321           0         935 2336 -1474
322           0         938 2100  -762
323           0         939 2379 -1399
324           0         946 2337 -2223
325           0         950 2100  -837
326           0         957 2380 -2298
327           0         963 2143 -1661
328           0         966 2444 -1212
329           0         975 2444 -3009
330           0         976 2121 -1848
331           0         980 2229 -3159
332           0         981 2315 -2784
333           0         985 2337 -3122
334           0         995 2552 -2597
335           0         996 2035 -1099
336           0         998 2380 -2672
337           0        1000 2315  -912
338           0        1004 2272 -2185
339           0        1006 2121  -950
340           0        1007 2681 -3047
341           0        1008 2293 -1698
342           0        1010 2186 -1736
343           0        1012 2078 -1923
344           0        1013 2509 -2972
345           0        1014 2272 -1886
346           0        1015 2466 -1399
347           0        1016 2272 -2036
348           0        1020 2164 -1174
