library_id,fastq_path,read,pair_id,type
167867,/scratch/project/production/fastq/HMJLMDRXX/1/fastq/HMJLMDRXX_1_SI-GA-G8_1.fastq.gz,R1,P1,GEX
167867,/scratch/project/production/fastq/HMJLMDRXX/2/fastq/HMJLMDRXX_2_SI-GA-G8_1.fastq.gz,R1,P2,GEX
167868,/scratch/project/production/fastq/HMJLMDRXX/1/fastq/HMJLMDRXX_1_SI-GA-G9_1.fastq.gz,R1,P3,GEX
167868,/scratch/project/production/fastq/HMJLMDRXX/2/fastq/HMJLMDRXX_2_SI-GA-G9_1.fastq.gz,R1,P4,GEX
167869,/scratch/project/production/fastq/HMJLMDRXX/1/fastq/HMJLMDRXX_1_SI-GA-G12_1.fastq.gz,R1,P5,BCR
167869,/scratch/project/production/fastq/HMJLMDRXX/2/fastq/HMJLMDRXX_2_SI-GA-G12_1.fastq.gz,R1,P6,BCR
167870,/scratch/project/production/fastq/HMJLMDRXX/1/fastq/HMJLMDRXX_1_SI-GA-H1_1.fastq.gz,R1,P7,BCR
167870,/scratch/project/production/fastq/HMJLMDRXX/2/fastq/HMJLMDRXX_2_SI-GA-H1_1.fastq.gz,R1,P8,BCR
167871,/scratch/project/production/fastq/HMJLMDRXX/1/fastq/HMJLMDRXX_1_SI-GA-G10_1.fastq.gz,R1,P9,TCR
167871,/scratch/project/production/fastq/HMJLMDRXX/2/fastq/HMJLMDRXX_2_SI-GA-G10_1.fastq.gz,R1,P10,TCR
167872,/scratch/project/production/fastq/HMJLMDRXX/1/fastq/HMJLMDRXX_1_SI-GA-G11_1.fastq.gz,R1,P11,TCR
167872,/scratch/project/production/fastq/HMJLMDRXX/2/fastq/HMJLMDRXX_2_SI-GA-G11_1.fastq.gz,R1,P12,TCR
167873,/scratch/project/production/fastq/HMJLMDRXX/1/fastq/HMJLMDRXX_1_SI-NA-A1_1.fastq.gz,R1,P13,CSP
167873,/scratch/project/production/fastq/HMJLMDRXX/2/fastq/HMJLMDRXX_2_SI-NA-A1_1.fastq.gz,R1,P14,CSP
167874,/scratch/project/production/fastq/HMJLMDRXX/1/fastq/HMJLMDRXX_1_SI-NA-B1_1.fastq.gz,R1,P15,CSP
167874,/scratch/project/production/fastq/HMJLMDRXX/2/fastq/HMJLMDRXX_2_SI-NA-B1_1.fastq.gz,R1,P16,CSP
167867,/scratch/project/production/fastq/HMJLMDRXX/1/fastq/HMJLMDRXX_1_SI-GA-G8_2.fastq.gz,R2,P1,GEX
167867,/scratch/project/production/fastq/HMJLMDRXX/2/fastq/HMJLMDRXX_2_SI-GA-G8_2.fastq.gz,R2,P2,GEX
167868,/scratch/project/production/fastq/HMJLMDRXX/1/fastq/HMJLMDRXX_1_SI-GA-G9_2.fastq.gz,R2,P3,GEX
167868,/scratch/project/production/fastq/HMJLMDRXX/2/fastq/HMJLMDRXX_2_SI-GA-G9_2.fastq.gz,R2,P4,GEX
167869,/scratch/project/production/fastq/HMJLMDRXX/1/fastq/HMJLMDRXX_1_SI-GA-G12_2.fastq.gz,R2,P5,BCR
167869,/scratch/project/production/fastq/HMJLMDRXX/2/fastq/HMJLMDRXX_2_SI-GA-G12_2.fastq.gz,R2,P6,BCR
167870,/scratch/project/production/fastq/HMJLMDRXX/1/fastq/HMJLMDRXX_1_SI-GA-H1_2.fastq.gz,R2,P7,BCR
167870,/scratch/project/production/fastq/HMJLMDRXX/2/fastq/HMJLMDRXX_2_SI-GA-H1_2.fastq.gz,R2,P8,BCR
167871,/scratch/project/production/fastq/HMJLMDRXX/1/fastq/HMJLMDRXX_1_SI-GA-G10_2.fastq.gz,R2,P9,TCR
167871,/scratch/project/production/fastq/HMJLMDRXX/2/fastq/HMJLMDRXX_2_SI-GA-G10_2.fastq.gz,R2,P10,TCR
167872,/scratch/project/production/fastq/HMJLMDRXX/1/fastq/HMJLMDRXX_1_SI-GA-G11_2.fastq.gz,R2,P11,TCR
167872,/scratch/project/production/fastq/HMJLMDRXX/2/fastq/HMJLMDRXX_2_SI-GA-G11_2.fastq.gz,R2,P12,TCR
167873,/scratch/project/production/fastq/HMJLMDRXX/1/fastq/HMJLMDRXX_1_SI-NA-A1_2.fastq.gz,R2,P13,CSP
167873,/scratch/project/production/fastq/HMJLMDRXX/2/fastq/HMJLMDRXX_2_SI-NA-A1_2.fastq.gz,R2,P14,CSP
167874,/scratch/project/production/fastq/HMJLMDRXX/1/fastq/HMJLMDRXX_1_SI-NA-B1_2.fastq.gz,R2,P15,CSP
167874,/scratch/project/production/fastq/HMJLMDRXX/2/fastq/HMJLMDRXX_2_SI-NA-B1_2.fastq.gz,R2,P16,CSP
