dataset,subproject,gem_id,library_id,library_name,type,pair_id,read,fastq_path,donor_id,flowcell,lane,index,fastq_name_array_express
scRNA-seq,BCLLATLAS_05,jb6vuao4_g4vi9ur0,130339,BCLL_2_T_5K,not_hashed,P1,R1,/scratch/project/production/fastq/HC5H7BBXY/6/fastq/HC5H7BBXY_6_SI-GA-C7_1.fastq.gz,BCLL-2-T,HC5H7BBXY,6,SI-GA-C7,scRNA-seq.BCLL-2-T.BCLLATLAS_05.jb6vuao4_g4vi9ur0.130339.not_hashed.P1.R1.fastq.gz
scRNA-seq,BCLLATLAS_05,jb6vuao4_g4vi9ur0,130339,BCLL_2_T_5K,not_hashed,P2,R1,/scratch/project/production/fastq/HCY2YDRXX/1/fastq/HCY2YDRXX_1_SI-GA-C7_1.fastq.gz,BCLL-2-T,HCY2YDRXX,1,SI-GA-C7,scRNA-seq.BCLL-2-T.BCLLATLAS_05.jb6vuao4_g4vi9ur0.130339.not_hashed.P2.R1.fastq.gz
scRNA-seq,BCLLATLAS_05,jb6vuao4_g4vi9ur0,130339,BCLL_2_T_5K,not_hashed,P3,R1,/scratch/project/production/fastq/HCY2YDRXX/2/fastq/HCY2YDRXX_2_SI-GA-C7_1.fastq.gz,BCLL-2-T,HCY2YDRXX,2,SI-GA-C7,scRNA-seq.BCLL-2-T.BCLLATLAS_05.jb6vuao4_g4vi9ur0.130339.not_hashed.P3.R1.fastq.gz
scRNA-seq,BCLLATLAS_05,jb6vuao4_g4vi9ur0,130339,BCLL_2_T_5K,not_hashed,P4,R1,/scratch/project/production/fastq/HF353DRXX/1/fastq/HF353DRXX_1_SI-GA-C7_1.fastq.gz,BCLL-2-T,HF353DRXX,1,SI-GA-C7,scRNA-seq.BCLL-2-T.BCLLATLAS_05.jb6vuao4_g4vi9ur0.130339.not_hashed.P4.R1.fastq.gz
scRNA-seq,BCLLATLAS_05,jb6vuao4_g4vi9ur0,130339,BCLL_2_T_5K,not_hashed,P5,R1,/scratch/project/production/fastq/HF353DRXX/2/fastq/HF353DRXX_2_SI-GA-C7_1.fastq.gz,BCLL-2-T,HF353DRXX,2,SI-GA-C7,scRNA-seq.BCLL-2-T.BCLLATLAS_05.jb6vuao4_g4vi9ur0.130339.not_hashed.P5.R1.fastq.gz
scRNA-seq,BCLLATLAS_05,izi9unx1_8qdzhivu,130340,BCLL_2_T_hashing,hashed_cdna,P6,R1,/scratch/project/production/fastq/HC5H7BBXY/6/fastq/HC5H7BBXY_6_SI-GA-D7_1.fastq.gz,BCLL-2-T,HC5H7BBXY,6,SI-GA-D7,scRNA-seq.BCLL-2-T.BCLLATLAS_05.izi9unx1_8qdzhivu.130340.hashed_cdna.P6.R1.fastq.gz
scRNA-seq,BCLLATLAS_05,izi9unx1_8qdzhivu,130340,BCLL_2_T_hashing,hashed_cdna,P7,R1,/scratch/project/production/fastq/HF353DRXX/1/fastq/HF353DRXX_1_SI-GA-D7_1.fastq.gz,BCLL-2-T,HF353DRXX,1,SI-GA-D7,scRNA-seq.BCLL-2-T.BCLLATLAS_05.izi9unx1_8qdzhivu.130340.hashed_cdna.P7.R1.fastq.gz
scRNA-seq,BCLLATLAS_05,izi9unx1_8qdzhivu,130340,BCLL_2_T_hashing,hashed_cdna,P8,R1,/scratch/project/production/fastq/HF353DRXX/2/fastq/HF353DRXX_2_SI-GA-D7_1.fastq.gz,BCLL-2-T,HF353DRXX,2,SI-GA-D7,scRNA-seq.BCLL-2-T.BCLLATLAS_05.izi9unx1_8qdzhivu.130340.hashed_cdna.P8.R1.fastq.gz
scRNA-seq,BCLLATLAS_05,izi9unx1_8qdzhivu,130342,BCLL_2_T_HTO,hashed_hto,P9,R1,/scratch/project/production/fastq/HC5H7BBXY/6/fastq/HC5H7BBXY_6_IlluminaTruseqD706_1.fastq.gz,BCLL-2-T,HC5H7BBXY,6,IlluminaTruseqD706,scRNA-seq.BCLL-2-T.BCLLATLAS_05.izi9unx1_8qdzhivu.130342.hashed_hto.P9.R1.fastq.gz
scRNA-seq,BCLLATLAS_05,jb6vuao4_g4vi9ur0,130339,BCLL_2_T_5K,not_hashed,P1,R2,/scratch/project/production/fastq/HC5H7BBXY/6/fastq/HC5H7BBXY_6_SI-GA-C7_2.fastq.gz,BCLL-2-T,HC5H7BBXY,6,SI-GA-C7,scRNA-seq.BCLL-2-T.BCLLATLAS_05.jb6vuao4_g4vi9ur0.130339.not_hashed.P1.R2.fastq.gz
