library_id,fastq_path,read,pair_id,type
130339,/scratch/project/production/fastq/HC5H7BBXY/6/fastq/HC5H7BBXY_6_SI-GA-C7_1.fastq.gz,R1,P1,not_hashed
130339,/scratch/project/production/fastq/HCY2YDRXX/1/fastq/HCY2YDRXX_1_SI-GA-C7_1.fastq.gz,R1,P2,not_hashed
130339,/scratch/project/production/fastq/HCY2YDRXX/2/fastq/HCY2YDRXX_2_SI-GA-C7_1.fastq.gz,R1,P3,not_hashed
130339,/scratch/project/production/fastq/HF353DRXX/1/fastq/HF353DRXX_1_SI-GA-C7_1.fastq.gz,R1,P4,not_hashed
130339,/scratch/project/production/fastq/HF353DRXX/2/fastq/HF353DRXX_2_SI-GA-C7_1.fastq.gz,R1,P5,not_hashed
130340,/scratch/project/production/fastq/HC5H7BBXY/6/fastq/HC5H7BBXY_6_SI-GA-D7_1.fastq.gz,R1,P6,hashed_cdna
130340,/scratch/project/production/fastq/HF353DRXX/1/fastq/HF353DRXX_1_SI-GA-D7_1.fastq.gz,R1,P7,hashed_cdna
130340,/scratch/project/production/fastq/HF353DRXX/2/fastq/HF353DRXX_2_SI-GA-D7_1.fastq.gz,R1,P8,hashed_cdna
130342,/scratch/project/production/fastq/HC5H7BBXY/6/fastq/HC5H7BBXY_6_IlluminaTruseqD706_1.fastq.gz,R1,P9,hashed_hto
130339,/scratch/project/production/fastq/HC5H7BBXY/6/fastq/HC5H7BBXY_6_SI-GA-C7_2.fastq.gz,R2,P1,not_hashed
130339,/scratch/project/production/fastq/HCY2YDRXX/1/fastq/HCY2YDRXX_1_SI-GA-C7_2.fastq.gz,R2,P2,not_hashed
130339,/scratch/project/production/fastq/HCY2YDRXX/2/fastq/HCY2YDRXX_2_SI-GA-C7_2.fastq.gz,R2,P3,not_hashed
130339,/scratch/project/production/fastq/HF353DRXX/1/fastq/HF353DRXX_1_SI-GA-C7_2.fastq.gz,R2,P4,not_hashed
130339,/scratch/project/production/fastq/HF353DRXX/2/fastq/HF353DRXX_2_SI-GA-C7_2.fastq.gz,R2,P5,not_hashed
130340,/scratch/project/production/fastq/HC5H7BBXY/6/fastq/HC5H7BBXY_6_SI-GA-D7_2.fastq.gz,R2,P6,hashed_cdna
130340,/scratch/project/production/fastq/HF353DRXX/1/fastq/HF353DRXX_1_SI-GA-D7_2.fastq.gz,R2,P7,hashed_cdna
130340,/scratch/project/production/fastq/HF353DRXX/2/fastq/HF353DRXX_2_SI-GA-D7_2.fastq.gz,R2,P8,hashed_cdna
130342,/scratch/project/production/fastq/HC5H7BBXY/6/fastq/HC5H7BBXY_6_IlluminaTruseqD706_2.fastq.gz,R2,P9,hashed_hto
