library_id,fastq_path,read,pair_id,type
182633,/scratch/project/production/fastq/HMJMGDRXX/1/fastq/HMJMGDRXX_1_SI-GA-E9_1.fastq.gz,R1,P1,GEX
182633,/scratch/project/production/fastq/HMJMGDRXX/2/fastq/HMJMGDRXX_2_SI-GA-E9_1.fastq.gz,R1,P2,GEX
182634,/scratch/project/production/fastq/HMJMGDRXX/1/fastq/HMJMGDRXX_1_SI-GA-E10_1.fastq.gz,R1,P3,GEX
182634,/scratch/project/production/fastq/HMJMGDRXX/2/fastq/HMJMGDRXX_2_SI-GA-E10_1.fastq.gz,R1,P4,GEX
182635,/scratch/project/production/fastq/HMJMGDRXX/1/fastq/HMJMGDRXX_1_SI-GA-E11_1.fastq.gz,R1,P5,GEX
182635,/scratch/project/production/fastq/HMJMGDRXX/2/fastq/HMJMGDRXX_2_SI-GA-E11_1.fastq.gz,R1,P6,GEX
182636,/scratch/project/production/fastq/HMJMGDRXX/1/fastq/HMJMGDRXX_1_SI-GA-E12_1.fastq.gz,R1,P7,GEX
182636,/scratch/project/production/fastq/HMJMGDRXX/2/fastq/HMJMGDRXX_2_SI-GA-E12_1.fastq.gz,R1,P8,GEX
182637,/scratch/project/production/fastq/HMJMGDRXX/1/fastq/HMJMGDRXX_1_SI-GA-F1_1.fastq.gz,R1,P9,GEX
182637,/scratch/project/production/fastq/HMJMGDRXX/2/fastq/HMJMGDRXX_2_SI-GA-F1_1.fastq.gz,R1,P10,GEX
182638,/scratch/project/production/fastq/HMJMGDRXX/1/fastq/HMJMGDRXX_1_SI-GA-F3_1.fastq.gz,R1,P11,BCR
182638,/scratch/project/production/fastq/HMJMGDRXX/2/fastq/HMJMGDRXX_2_SI-GA-F3_1.fastq.gz,R1,P12,BCR
182639,/scratch/project/production/fastq/HMJMGDRXX/1/fastq/HMJMGDRXX_1_SI-GA-F4_1.fastq.gz,R1,P13,BCR
182639,/scratch/project/production/fastq/HMJMGDRXX/2/fastq/HMJMGDRXX_2_SI-GA-F4_1.fastq.gz,R1,P14,BCR
182640,/scratch/project/production/fastq/HMJMGDRXX/1/fastq/HMJMGDRXX_1_SI-GA-F5_1.fastq.gz,R1,P15,BCR
182640,/scratch/project/production/fastq/HMJMGDRXX/2/fastq/HMJMGDRXX_2_SI-GA-F5_1.fastq.gz,R1,P16,BCR
182641,/scratch/project/production/fastq/HMJMGDRXX/1/fastq/HMJMGDRXX_1_SI-GA-F6_1.fastq.gz,R1,P17,BCR
182641,/scratch/project/production/fastq/HMJMGDRXX/2/fastq/HMJMGDRXX_2_SI-GA-F6_1.fastq.gz,R1,P18,BCR
182642,/scratch/project/production/fastq/HMJMGDRXX/1/fastq/HMJMGDRXX_1_SI-GA-F7_1.fastq.gz,R1,P19,BCR
182642,/scratch/project/production/fastq/HMJMGDRXX/2/fastq/HMJMGDRXX_2_SI-GA-F7_1.fastq.gz,R1,P20,BCR
182643,/scratch/project/production/fastq/HMJMGDRXX/1/fastq/HMJMGDRXX_1_SI-GA-F8_1.fastq.gz,R1,P21,TCR
182643,/scratch/project/production/fastq/HMJMGDRXX/2/fastq/HMJMGDRXX_2_SI-GA-F8_1.fastq.gz,R1,P22,TCR
182644,/scratch/project/production/fastq/HMJMGDRXX/1/fastq/HMJMGDRXX_1_SI-GA-F9_1.fastq.gz,R1,P23,TCR
182644,/scratch/project/production/fastq/HMJMGDRXX/2/fastq/HMJMGDRXX_2_SI-GA-F9_1.fastq.gz,R1,P24,TCR
182645,/scratch/project/production/fastq/HMJMGDRXX/1/fastq/HMJMGDRXX_1_SI-GA-F10_1.fastq.gz,R1,P25,TCR
182645,/scratch/project/production/fastq/HMJMGDRXX/2/fastq/HMJMGDRXX_2_SI-GA-F10_1.fastq.gz,R1,P26,TCR
182646,/scratch/project/production/fastq/HMJMGDRXX/1/fastq/HMJMGDRXX_1_SI-GA-F11_1.fastq.gz,R1,P27,TCR
182646,/scratch/project/production/fastq/HMJMGDRXX/2/fastq/HMJMGDRXX_2_SI-GA-F11_1.fastq.gz,R1,P28,TCR
182647,/scratch/project/production/fastq/HMJMGDRXX/1/fastq/HMJMGDRXX_1_SI-GA-F2_1.fastq.gz,R1,P29,TCR
182647,/scratch/project/production/fastq/HMJMGDRXX/2/fastq/HMJMGDRXX_2_SI-GA-F2_1.fastq.gz,R1,P30,TCR
182648,/scratch/project/production/fastq/HMJMGDRXX/1/fastq/HMJMGDRXX_1_SI-NA-E8_1.fastq.gz,R1,P31,CSP
182648,/scratch/project/production/fastq/HMJMGDRXX/2/fastq/HMJMGDRXX_2_SI-NA-E8_1.fastq.gz,R1,P32,CSP
182649,/scratch/project/production/fastq/HMJMGDRXX/1/fastq/HMJMGDRXX_1_SI-NA-F8_1.fastq.gz,R1,P33,CSP
182649,/scratch/project/production/fastq/HMJMGDRXX/2/fastq/HMJMGDRXX_2_SI-NA-F8_1.fastq.gz,R1,P34,CSP
182650,/scratch/project/production/fastq/HMJMGDRXX/1/fastq/HMJMGDRXX_1_SI-NA-G8_1.fastq.gz,R1,P35,CSP
182650,/scratch/project/production/fastq/HMJMGDRXX/2/fastq/HMJMGDRXX_2_SI-NA-G8_1.fastq.gz,R1,P36,CSP
182651,/scratch/project/production/fastq/HMJMGDRXX/1/fastq/HMJMGDRXX_1_SI-NA-H8_1.fastq.gz,R1,P37,CSP
182651,/scratch/project/production/fastq/HMJMGDRXX/2/fastq/HMJMGDRXX_2_SI-NA-H8_1.fastq.gz,R1,P38,CSP
182652,/scratch/project/production/fastq/HMJMGDRXX/1/fastq/HMJMGDRXX_1_SI-NA-A9_1.fastq.gz,R1,P39,CSP
182652,/scratch/project/production/fastq/HMJMGDRXX/2/fastq/HMJMGDRXX_2_SI-NA-A9_1.fastq.gz,R1,P40,CSP
182633,/scratch/project/production/fastq/HMJMGDRXX/1/fastq/HMJMGDRXX_1_SI-GA-E9_2.fastq.gz,R2,P1,GEX
182633,/scratch/project/production/fastq/HMJMGDRXX/2/fastq/HMJMGDRXX_2_SI-GA-E9_2.fastq.gz,R2,P2,GEX
182634,/scratch/project/production/fastq/HMJMGDRXX/1/fastq/HMJMGDRXX_1_SI-GA-E10_2.fastq.gz,R2,P3,GEX
182634,/scratch/project/production/fastq/HMJMGDRXX/2/fastq/HMJMGDRXX_2_SI-GA-E10_2.fastq.gz,R2,P4,GEX
182635,/scratch/project/production/fastq/HMJMGDRXX/1/fastq/HMJMGDRXX_1_SI-GA-E11_2.fastq.gz,R2,P5,GEX
182635,/scratch/project/production/fastq/HMJMGDRXX/2/fastq/HMJMGDRXX_2_SI-GA-E11_2.fastq.gz,R2,P6,GEX
182636,/scratch/project/production/fastq/HMJMGDRXX/1/fastq/HMJMGDRXX_1_SI-GA-E12_2.fastq.gz,R2,P7,GEX
182636,/scratch/project/production/fastq/HMJMGDRXX/2/fastq/HMJMGDRXX_2_SI-GA-E12_2.fastq.gz,R2,P8,GEX
182637,/scratch/project/production/fastq/HMJMGDRXX/1/fastq/HMJMGDRXX_1_SI-GA-F1_2.fastq.gz,R2,P9,GEX
182637,/scratch/project/production/fastq/HMJMGDRXX/2/fastq/HMJMGDRXX_2_SI-GA-F1_2.fastq.gz,R2,P10,GEX
182638,/scratch/project/production/fastq/HMJMGDRXX/1/fastq/HMJMGDRXX_1_SI-GA-F3_2.fastq.gz,R2,P11,BCR
182638,/scratch/project/production/fastq/HMJMGDRXX/2/fastq/HMJMGDRXX_2_SI-GA-F3_2.fastq.gz,R2,P12,BCR
182639,/scratch/project/production/fastq/HMJMGDRXX/1/fastq/HMJMGDRXX_1_SI-GA-F4_2.fastq.gz,R2,P13,BCR
182639,/scratch/project/production/fastq/HMJMGDRXX/2/fastq/HMJMGDRXX_2_SI-GA-F4_2.fastq.gz,R2,P14,BCR
182640,/scratch/project/production/fastq/HMJMGDRXX/1/fastq/HMJMGDRXX_1_SI-GA-F5_2.fastq.gz,R2,P15,BCR
182640,/scratch/project/production/fastq/HMJMGDRXX/2/fastq/HMJMGDRXX_2_SI-GA-F5_2.fastq.gz,R2,P16,BCR
182641,/scratch/project/production/fastq/HMJMGDRXX/1/fastq/HMJMGDRXX_1_SI-GA-F6_2.fastq.gz,R2,P17,BCR
182641,/scratch/project/production/fastq/HMJMGDRXX/2/fastq/HMJMGDRXX_2_SI-GA-F6_2.fastq.gz,R2,P18,BCR
182642,/scratch/project/production/fastq/HMJMGDRXX/1/fastq/HMJMGDRXX_1_SI-GA-F7_2.fastq.gz,R2,P19,BCR
182642,/scratch/project/production/fastq/HMJMGDRXX/2/fastq/HMJMGDRXX_2_SI-GA-F7_2.fastq.gz,R2,P20,BCR
182643,/scratch/project/production/fastq/HMJMGDRXX/1/fastq/HMJMGDRXX_1_SI-GA-F8_2.fastq.gz,R2,P21,TCR
182643,/scratch/project/production/fastq/HMJMGDRXX/2/fastq/HMJMGDRXX_2_SI-GA-F8_2.fastq.gz,R2,P22,TCR
182644,/scratch/project/production/fastq/HMJMGDRXX/1/fastq/HMJMGDRXX_1_SI-GA-F9_2.fastq.gz,R2,P23,TCR
182644,/scratch/project/production/fastq/HMJMGDRXX/2/fastq/HMJMGDRXX_2_SI-GA-F9_2.fastq.gz,R2,P24,TCR
182645,/scratch/project/production/fastq/HMJMGDRXX/1/fastq/HMJMGDRXX_1_SI-GA-F10_2.fastq.gz,R2,P25,TCR
182645,/scratch/project/production/fastq/HMJMGDRXX/2/fastq/HMJMGDRXX_2_SI-GA-F10_2.fastq.gz,R2,P26,TCR
182646,/scratch/project/production/fastq/HMJMGDRXX/1/fastq/HMJMGDRXX_1_SI-GA-F11_2.fastq.gz,R2,P27,TCR
182646,/scratch/project/production/fastq/HMJMGDRXX/2/fastq/HMJMGDRXX_2_SI-GA-F11_2.fastq.gz,R2,P28,TCR
182647,/scratch/project/production/fastq/HMJMGDRXX/1/fastq/HMJMGDRXX_1_SI-GA-F2_2.fastq.gz,R2,P29,TCR
182647,/scratch/project/production/fastq/HMJMGDRXX/2/fastq/HMJMGDRXX_2_SI-GA-F2_2.fastq.gz,R2,P30,TCR
182648,/scratch/project/production/fastq/HMJMGDRXX/1/fastq/HMJMGDRXX_1_SI-NA-E8_2.fastq.gz,R2,P31,CSP
182648,/scratch/project/production/fastq/HMJMGDRXX/2/fastq/HMJMGDRXX_2_SI-NA-E8_2.fastq.gz,R2,P32,CSP
182649,/scratch/project/production/fastq/HMJMGDRXX/1/fastq/HMJMGDRXX_1_SI-NA-F8_2.fastq.gz,R2,P33,CSP
182649,/scratch/project/production/fastq/HMJMGDRXX/2/fastq/HMJMGDRXX_2_SI-NA-F8_2.fastq.gz,R2,P34,CSP
