library_id,fastq_path,read,pair_id,type
135390,/scratch/project/production/fastq/HCTW2DRXX/1/fastq/HCTW2DRXX_1_SI-GA-D9_1.fastq.gz,R1,P1,hashed_cdna
135390,/scratch/project/production/fastq/HCTW2DRXX/2/fastq/HCTW2DRXX_2_SI-GA-D9_1.fastq.gz,R1,P2,hashed_cdna
135390,/scratch/project/production/fastq/HF353DRXX/1/fastq/HF353DRXX_1_SI-GA-D9_1.fastq.gz,R1,P3,hashed_cdna
135390,/scratch/project/production/fastq/HF353DRXX/2/fastq/HF353DRXX_2_SI-GA-D9_1.fastq.gz,R1,P4,hashed_cdna
135391,/scratch/project/production/fastq/HCTW2DRXX/1/fastq/HCTW2DRXX_1_SI-GA-E9_1.fastq.gz,R1,P5,hashed_cdna
135391,/scratch/project/production/fastq/HCTW2DRXX/2/fastq/HCTW2DRXX_2_SI-GA-E9_1.fastq.gz,R1,P6,hashed_cdna
135391,/scratch/project/production/fastq/HF353DRXX/1/fastq/HF353DRXX_1_SI-GA-E9_1.fastq.gz,R1,P7,hashed_cdna
135391,/scratch/project/production/fastq/HF353DRXX/2/fastq/HF353DRXX_2_SI-GA-E9_1.fastq.gz,R1,P8,hashed_cdna
135392,/scratch/project/production/fastq/HCY2YDRXX/1/fastq/HCY2YDRXX_1_SI-GA-F9_1.fastq.gz,R1,P9,not_hashed
135392,/scratch/project/production/fastq/HCY2YDRXX/2/fastq/HCY2YDRXX_2_SI-GA-F9_1.fastq.gz,R1,P10,not_hashed
135392,/scratch/project/production/fastq/HF353DRXX/1/fastq/HF353DRXX_1_SI-GA-F9_1.fastq.gz,R1,P11,not_hashed
135392,/scratch/project/production/fastq/HF353DRXX/2/fastq/HF353DRXX_2_SI-GA-F9_1.fastq.gz,R1,P12,not_hashed
135393,/scratch/project/production/fastq/HF353DRXX/1/fastq/HF353DRXX_1_IlluminaTruSeqD704_1.fastq.gz,R1,P13,hashed_hto
135393,/scratch/project/production/fastq/HF353DRXX/2/fastq/HF353DRXX_2_IlluminaTruSeqD704_1.fastq.gz,R1,P14,hashed_hto
135394,/scratch/project/production/fastq/HF353DRXX/1/fastq/HF353DRXX_1_IlluminaTruseqD705_1.fastq.gz,R1,P15,hashed_hto
135394,/scratch/project/production/fastq/HF353DRXX/2/fastq/HF353DRXX_2_IlluminaTruseqD705_1.fastq.gz,R1,P16,hashed_hto
135390,/scratch/project/production/fastq/HCTW2DRXX/1/fastq/HCTW2DRXX_1_SI-GA-D9_2.fastq.gz,R2,P1,hashed_cdna
135390,/scratch/project/production/fastq/HCTW2DRXX/2/fastq/HCTW2DRXX_2_SI-GA-D9_2.fastq.gz,R2,P2,hashed_cdna
135390,/scratch/project/production/fastq/HF353DRXX/1/fastq/HF353DRXX_1_SI-GA-D9_2.fastq.gz,R2,P3,hashed_cdna
135390,/scratch/project/production/fastq/HF353DRXX/2/fastq/HF353DRXX_2_SI-GA-D9_2.fastq.gz,R2,P4,hashed_cdna
135391,/scratch/project/production/fastq/HCTW2DRXX/1/fastq/HCTW2DRXX_1_SI-GA-E9_2.fastq.gz,R2,P5,hashed_cdna
135391,/scratch/project/production/fastq/HCTW2DRXX/2/fastq/HCTW2DRXX_2_SI-GA-E9_2.fastq.gz,R2,P6,hashed_cdna
135391,/scratch/project/production/fastq/HF353DRXX/1/fastq/HF353DRXX_1_SI-GA-E9_2.fastq.gz,R2,P7,hashed_cdna
135391,/scratch/project/production/fastq/HF353DRXX/2/fastq/HF353DRXX_2_SI-GA-E9_2.fastq.gz,R2,P8,hashed_cdna
135392,/scratch/project/production/fastq/HCY2YDRXX/1/fastq/HCY2YDRXX_1_SI-GA-F9_2.fastq.gz,R2,P9,not_hashed
135392,/scratch/project/production/fastq/HCY2YDRXX/2/fastq/HCY2YDRXX_2_SI-GA-F9_2.fastq.gz,R2,P10,not_hashed
135392,/scratch/project/production/fastq/HF353DRXX/1/fastq/HF353DRXX_1_SI-GA-F9_2.fastq.gz,R2,P11,not_hashed
135392,/scratch/project/production/fastq/HF353DRXX/2/fastq/HF353DRXX_2_SI-GA-F9_2.fastq.gz,R2,P12,not_hashed
135393,/scratch/project/production/fastq/HF353DRXX/1/fastq/HF353DRXX_1_IlluminaTruSeqD704_2.fastq.gz,R2,P13,hashed_hto
135393,/scratch/project/production/fastq/HF353DRXX/2/fastq/HF353DRXX_2_IlluminaTruSeqD704_2.fastq.gz,R2,P14,hashed_hto
135394,/scratch/project/production/fastq/HF353DRXX/1/fastq/HF353DRXX_1_IlluminaTruseqD705_2.fastq.gz,R2,P15,hashed_hto
135394,/scratch/project/production/fastq/HF353DRXX/2/fastq/HF353DRXX_2_IlluminaTruseqD705_2.fastq.gz,R2,P16,hashed_hto
